battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
5298,1,1.5,1,11,1,232,0.9,192,5,17,128,1053,2419,14,14,12,0,1,0,3
773,0,2.7,0,1,0,12,0.1,82,7,2,764,703,304,11,15,13,0,0,1,0
2962,1,2.8,1,9,1,19,0.3,190,1,9,185,572,1050,7,4,3,0,1,0,2
2116,1,2.9,0,0,0,17,0.9,126,7,3,1471,1087,635,15,9,4,0,1,0,1
3198,1,1.3,0,15,0,31,0.5,198,7,14,684,607,1363,7,7,18,1,0,0,2
3441,1,0.8,1,12,1,50,0.4,183,3,13,1271,1520,1926,13,8,10,0,1,1,2
1597,0,3.0,1,1,0,26,0.3,123,4,4,852,1926,1152,16,13,18,1,1,1,1
4746,0,2.0,1,6,1,192,1.0,110,6,19,243,1767,3389,11,2,4,0,0,0,3
1296,0,1.5,0,1,0,10,0.9,145,5,2,932,1576,461,5,6,9,1,1,0,0
2556,0,2.4,1,16,1,47,0.1,103,8,11,750,500,2961,6,8,9,1,1,1,2
969,0,1.5,1,0,1,6,0.8,103,4,2,1102,1743,601,9,12,7,1,1,1,0
1966,0,2.0,1,5,1,21,0.8,182,7,15,937,1902,2587,18,11,17,1,0,1,2
1985,0,2.0,1,18,1,63,0.3,107,4,11,764,985,1315,18,7,18,0,1,1,2
1074,0,2.4,1,0,1,28,0.5,115,7,6,1721,1771,724,6,5,10,1,0,1,1
764,1,0.7,0,1,1,3,0.6,141,4,2,404,1410,371,14,8,19,0,0,1,0
690,1,2.2,1,2,0,9,0.3,195,2,5,772,791,866,8,11,13,1,1,1,0
1338,1,1.0,0,0,0,14,0.8,86,4,2,848,925,749,10,2,7,1,0,1,1
1067,1,2.9,0,1,0,13,0.8,167,3,5,1295,811,354,11,6,5,1,1,1,0
4368,0,1.9,1,12,1,75,0.7,124,8,8,1577,1129,2572,13,3,13,1,0,1,3
3278,0,1.1,1,19,1,116,0.6,189,2,19,914,794,2430,12,4,12,1,1,1,3
1099,1,0.7,1,3,1,18,1.0,111,6,6,1228,742,1796,16,5,18,1,1,1,1
2216,0,0.9,0,14,1,49,0.6,156,4,15,280,1187,3682,13,0,6,0,0,0,3
2532,1,2.2,0,15,1,217,0.3,102,6,12,461,1779,3946,13,16,2,1,0,0,3
2811,1,2.9,1,15,1,53,0.7,168,2,18,583,1534,1448,17,14,18,1,1,0,2
2623,1,1.6,1,16,1,140,0.6,172,4,10,379,1008,3998,12,0,13,1,1,1,3
1073,1,1.6,1,1,1,15,0.2,176,5,7,498,1959,412,18,9,19,1,0,0,0
3470,1,2.7,1,19,1,18,0.5,109,6,9,1629,1083,2415,9,7,9,1,1,0,2
1165,1,0.7,0,3,1,29,0.4,167,3,2,527,1783,1717,14,2,7,1,1,0,1
2333,1,1.8,1,1,0,24,0.7,178,5,5,277,1828,960,13,9,19,1,1,1,1
