RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15698454,Customer_1,850,France,Male,45,8,0.0,1,0,0,12674.97,0
2,15776870,Customer_2,792,Spain,Female,39,10,0.0,2,0,0,89757.03,0
3,15791490,Customer_3,454,Germany,Female,33,4,81067.74,1,1,1,60176.76,0
4,15650891,Customer_4,763,Germany,Female,30,9,0.0,1,1,0,34197.9,0
5,15769031,Customer_5,659,France,Male,79,1,141868.36,2,0,1,55214.89,0
6,15773102,Customer_6,502,France,Female,60,3,0.0,2,0,1,168039.94,1
7,15726727,Customer_7,471,France,Female,49,3,0.0,2,0,0,123999.37,1
8,15643135,Customer_8,646,Spain,Male,84,4,122808.95,1,1,1,87088.01,0
9,15610767,Customer_9,815,Germany,Male,74,7,0.0,2,1,1,144095.28,1
10,15770074,Customer_10,850,Germany,Male,82,4,138827.61,2,0,0,193637.58,1
11,15634703,Customer_11,678,France,Male,86,0,0.0,1,1,0,185426.93,0
12,15586112,Customer_12,550,Spain,Female,66,1,228715.97,1,0,0,19380.8,1
13,15760593,Customer_13,834,Spain,Male,50,2,105575.6,2,0,1,66461.09,0
14,15576722,Customer_14,557,France,Female,36,2,204827.33,1,1,0,62631.09,0
15,15632568,Customer_15,616,France,Male,53,9,77321.94,2,1,0,110770.44,0
16,15617719,Customer_16,718,France,Male,87,5,0.0,2,0,0,18092.54,1
17,15763146,Customer_17,782,France,Female,32,8,215257.37,3,1,1,184337.67,0
18,15674002,Customer_18,535,Germany,Female,41,9,38658.94,2,0,1,156502.22,0
19,15654101,Customer_19,647,France,Female,44,0,14226.67,1,1,1,24562.85,0
20,15769647,Customer_20,715,France,Male,66,5,0.0,1,0,0,50860.43,0
21,15590482,Customer_21,408,Germany,Male,40,8,0.0,1,1,0,28621.57,0
22,15583685,Customer_22,464,France,Female,50,3,0.0,1,0,1,95533.63,0
23,15732348,Customer_23,485,France,Female,58,9,0.0,1,1,0,178018.97,1
24,15642900,Customer_24,676,France,Male,73,2,0.0,2,1,1,128924.64,0
25,15607884,Customer_25,709,France,Female,46,5,127581.67,2,0,0,121105.33,0
26,15666797,Customer_26,770,Spain,Female,48,5,73510.06,2,1,0,14908.42,0
27,15593111,Customer_27,683,France,Male,82,1,132761.62,1,1,1,181253.17,0
28,15759817,Customer_28,850,Germany,Female,35,4,0.0,2,1,0,56157.51,1
29,15576682,Customer_29,713,Germany,Male,23,0,227483.85,2,1,0,180021.27,0
30,15566423,Customer_30,784,France,Male,69,8,242927.1,1,1,1,90808.32,0
31,15803279,Customer_31,745,Germany,Male,57,8,112413.74,1,1,1,105757.48,0
32,15765362,Customer_32,677,France,Female,82,2,247608.13,2,1,0,120999.92,0
33,15590892,Customer_33,810,France,Female,59,4,80789.37,1,1,1,57707.98,1
34,15721459,Customer_34,716,Spain,Female,85,2,11674.22,4,0,0,167106.78,0
35,15618167,Customer_35,591,Spain,Female,49,6,194228.09,2,0,0,191663.16,0
36,15594957,Customer_36,669,Spain,Male,27,0,52824.56,1,1,0,56705.68,0
37,15769273,Customer_37,617,France,Male,86,4,22589.16,1,1,1,39.68,1
38,15716273,Customer_38,572,France,Female,26,5,231762.14,1,1,0,105124.12,0
39,15661570,Customer_39,581,Germany,Female,86,10,0.0,2,0,1,118570.12,0
40,15601262,Customer_40,712,France,Female,78,6,34639.55,2,0,1,12708.55,1
41,15752363,Customer_41,511,France,Female,28,2,196458.44,2,1,1,134577.72,1
42,15637871,Customer_42,677,France,Male,85,6,212559.93,2,0,1,58419.23,1
43,15580943,Customer_43,598,France,Female,91,3,0.0,2,1,0,191726.63,1
44,15657231,Customer_44,549,Spain,Male,25,9,140486.58,1,1,0,156279.63,0
45,15634160,Customer_45,640,France,Female,66,10,0.0,2,0,0,14526.49,1
46,15628603,Customer_46,664,Germany,Female,41,5,192937.43,2,1,0,190867.15,0
