First_pokemon,Second_pokemon,Winner
319,651,651
713,652,713
233,413,233
153,26,153
160,270,270
632,452,452
123,299,299
254,702,254
295,431,295
423,262,423
218,501,218
46,714,46
11,130,11
476,519,476
16,409,409
499,483,483
123,193,123
99,432,432
332,199,199
484,101,484
767,511,511
551,14,14
796,325,796
671,223,671
736,358,358
68,99,68
715,530,715
265,472,265
777,68,68
423,371,371
487,359,359
501,18,18
410,408,410
209,628,628
407,536,407
39,99,39
208,92,92
648,511,511
385,547,547
443,548,443
123,233,233
599,737,599
375,426,375
164,652,164
42,263,42
198,630,198
321,317,321
552,714,552
53,690,690
721,414,721
136,64,136
659,689,659
331,194,331
172,85,85
266,137,137
527,463,463
410,579,410
530,279,279
354,368,354
745,430,745
270,583,583
195,419,419
205,340,340
652,654,654
315,572,572
361,136,136
304,726,304
152,313,152
752,621,752
663,52,663
48,49,48
522,218,218
588,599,599
239,652,239
669,401,401
309,378,378
112,515,515
606,778,606
283,296,283
539,362,539
156,527,156
414,268,414
683,224,224
174,75,75
35,626,35
255,527,255
165,662,662
684,465,465
249,463,249
218,172,218
703,94,703
231,118,118
599,303,303
435,418,435
351,239,351
201,71,201
707,142,142
199,422,422
438,782,782
254,759,759
487,214,487
724,272,272
696,69,69
405,616,616
316,173,316
196,590,590
652,760,652
409,694,694
545,586,586
378,192,192
512,395,395
93,748,93
371,302,371
146,701,146
638,759,759
321,283,283
143,116,143
243,282,282
563,638,563
236,536,236
16,19,19
59,536,536
266,199,199
503,647,503
122,773,122
721,271,721
761,515,761
572,3,3
446,484,484
498,73,73
13,434,13
299,711,299
319,112,112
339,752,752
624,607,624
271,640,640
687,747,687
527,489,489
292,239,239
542,46,542
616,94,616
511,76,76
195,627,195
544,41,41
779,129,779
505,245,505
15,773,773
321,636,636
648,289,648
13,12,13
651,460,460
190,585,585
781,775,781
213,306,306
27,703,27
396,725,396
485,198,485
366,794,794
222,232,222
694,769,694
207,699,207
74,276,276
350,222,350
62,95,95
386,635,635
73,304,73
262,457,262
179,778,778
634,136,634
134,435,134
249,630,630
506,59,506
44,426,426
701,619,619
137,138,138
367,317,367
249,604,249
243,291,243
177,759,177
373,717,373
740,96,96
606,450,450
137,112,112
254,788,254
254,515,254
540,414,540
272,69,69
271,256,271
428,589,428
551,355,355
746,729,746
3,596,3
265,248,265
634,441,441
328,263,328
594,736,736
341,709,709
87,292,87
564,349,349
577,589,589
531,310,310
31,656,656
640,677,677
385,721,385
708,23,708
749,22,749
202,733,202
408,350,408
497,148,497
339,90,90
477,186,477
791,721,721
39,228,39
64,44,44
722,454,454
38,77,77
455,409,455
111,438,438
207,370,207
269,62,269
797,21,21
293,594,594
390,458,458
653,455,455
337,315,337
421,258,258
783,516,783
426,535,535
353,96,353
67,594,594
564,25,564
281,599,281
58,505,505
186,543,543
108,645,108
393,751,393
732,88,88
502,601,502
743,69,69
652,689,689
86,130,130
519,754,519
241,208,208
501,553,553
630,621,630
148,381,381
784,112,784
608,692,608
639,798,798
702,765,702
569,506,569
247,734,734
481,549,481
6,705,6
94,161,161
659,593,593
358,75,358
24,95,24
148,528,148
722,69,69
681,333,333
252,263,263
766,727,766
717,91,717
565,670,670
676,311,311
38,266,266
141,484,484
413,737,737
255,483,255
320,172,172
199,434,199
482,208,208
574,169,169
440,438,440
230,270,230
683,313,683
757,213,213
244,309,244
693,37,37
123,505,505
487,498,487
374,333,333
319,581,319
320,576,576
97,548,548
591,142,142
344,367,344
614,35,614
392,603,392
677,671,677
165,182,182
15,698,698
679,559,679
65,381,381
762,120,120
622,745,622
221,290,221
649,509,649
671,274,274
46,793,793
95,417,417
393,655,655
767,213,213
649,560,649
635,319,635
355,656,355
195,156,156
380,273,273
64,700,700
54,701,701
437,40,437
589,315,589
105,471,105
680,183,183
235,320,320
772,185,772
768,4,4
764,53,764
485,59,59
582,157,157
499,246,246
407,251,251
381,277,277
335,100,335
447,396,396
675,297,675
532,150,150
124,254,254
303,195,195
461,427,427
663,638,663
259,509,509
624,740,624
218,668,668
604,597,597
604,612,604
391,149,149
464,450,450
625,286,625
250,374,374
539,323,539
272,548,272
679,668,679
53,129,53
740,681,681
467,102,102
438,217,438
572,337,337
118,128,118
270,18,18
266,151,151
63,773,773
133,298,133
194,633,633
394,741,394
624,1,1
278,189,278
798,416,798
485,780,780
500,659,659
277,181,277
230,426,426
799,553,799
331,690,331
637,283,283
660,796,660
251,148,148
135,732,135
91,155,155
619,190,190
691,53,53
493,32,32
46,649,649
39,699,39
653,229,653
579,539,539
187,89,187
162,480,162
227,332,332
165,721,721
585,411,585
282,318,282
22,371,22
685,249,685
477,583,477
4,420,4
250,166,250
63,166,166
644,213,213
8,374,374
630,518,518
164,383,164
362,106,106
348,678,348
339,771,339
163,654,163
244,355,355
13,109,109
178,283,283
334,659,334
706,333,706
271,445,271
594,245,245
640,515,515
161,315,161
53,24,53
498,330,330
369,251,251
264,278,278
700,336,336
350,560,560
557,518,518
714,317,714
337,756,337
704,259,704
215,179,215
44,421,44
202,448,448
429,158,429
108,760,108
623,331,331
319,636,319
418,306,306
533,566,566
205,536,205
7,96,96
725,667,725
498,44,44
529,303,303
431,644,431
583,141,583
86,476,86
220,491,491
82,303,303
650,671,650
103,544,103
554,511,511
152,599,152
269,718,718
700,436,436
203,662,662
767,467,467
158,330,330
740,414,414
206,244,244
672,492,492
53,112,53
630,132,132
761,250,250
659,537,537
323,163,163
60,63,60
272,103,272
681,281,681
705,476,476
2,523,523
84,90,90
91,625,625
399,42,399
459,199,459
62,561,62
52,614,52
116,177,116
759,118,118
369,160,369
262,729,262
661,707,707
788,92,92
621,459,621
387,631,387
4,786,4
550,777,550
252,116,252
256,421,421
53,553,553
556,607,607
764,221,221
504,458,458
61,150,150
450,177,450
1,493,1
161,35,161
345,331,331
773,143,143
38,365,365
728,693,728
772,613,613
182,41,182
439,321,321
716,441,716
370,210,370
157,247,157
470,423,470
749,230,749
251,15,15
198,146,146
223,308,223
709,517,709
422,13,422
532,586,586
634,34,634
370,296,370
360,562,562
790,701,790
6,259,259
430,676,430
164,658,164
369,549,369
482,682,482
276,320,276
582,779,582
306,749,749
277,139,277
317,725,725
57,77,77
614,191,614
264,675,264
778,428,778
248,569,569
298,495,495
615,216,615
511,668,668
662,458,458
721,611,611
315,402,402
469,268,268
460,585,460
24,275,24
191,507,191
